domain	id	label	rgba
1	1	flavone_metabolic_process, flavonoid_glucuronidation, glucuronosyltransferase_activity, metabolic_process, negative_regulation_of_fatty_acid_metabolic_process	[0.44705736433677606, 0.0, 1.0, 1.0]
2	2	phospholipid_efflux, very, low, density_lipoprotein_particle	[0.5176455764691059, 1.0, 0.0, 1.0]
3	3	1, 2, daunorubicin_metabolic_process, doxorubicin_metabolic_process, oxidoreductase_activity	[0.0, 1.0, 0.9647031631761764, 1.0]
4	4	detection_of_chemical_stimulus_involved_in_sensory_perception_of_taste, taste_receptor_activity	[0.0, 0.29411984742867114, 1.0, 1.0]
5	5	nucleobase, containing_small_molecule_interconversion, nucleoside_diphosphate_kinase_activity, nucleoside_triphosphate_biosynthetic_process, regulation_of_epidermis_development	[0.8176459702194999, 0.0, 1.0, 1.0]
6	6	cellular_calcium_ion_homeostasis, cytoskeleton_organization, eosinophil_chemotaxis, regulation_of_cell_shape	[1.0, 0.0, 0.4411768180150532, 1.0]
7	7	cell_adhesion, nervous_system_development	[1.0, 0.0, 0.8117654238977766, 1.0]
8	8	aromatic_compound_catabolic_process	[1.0, 0.741177211765447, 0.0, 1.0]
9	9	apolipoprotein_B_mRNA_editing_enzyme_complex, DNA_cytosine_deamination, negative_regulation_of_retroviral_genome_replication, negative_regulation_of_transposition, negative_regulation_of_viral_reproduction	[0.0, 1.0, 0.22353062080241548, 1.0]
10	10	antigen_processing_and_presentation_of_exogenous_peptide_antigen_via_MHC_class_II, lysosomal_membrane	[0.8882341823518295, 1.0, 0.0, 1.0]
11	11	cornified_envelope, keratinocyte_differentiation	[1.0, 0.3705886058827235, 0.0, 1.0]
12	12	antigen_binding, complement_activation, Fc, gamma_receptor_signaling_pathway_involved_in_phagocytosis	[0.14705697058638245, 1.0, 0.0, 1.0]
13	13	gap_junction	[0.0, 0.6647084533113945, 1.0, 1.0]
14	14	insulin, like_growth_factor_binding	[0.0, 1.0, 0.594116891989296, 1.0]
15	15	N, dimethylaniline_monooxygenase_activity	[0.07646875845405214, 0.0, 1.0, 1.0]
